S.No.,Division/Seat No.,Name of Member,Lok Sabha,Session,State,Constituency,Total Sittings,No. of days member signed the register
152,208,Shri  Somendranath  Mitra                                             ,15,4,West Bengal                                                 ,Diamond Harbour,32,14
153,210,Shri  Badruddin  Ajmal                                             ,15,4,Assam                                                       ,Dhubri,32,19
154,211,Shri  Babu Lal  Marandi                                           ,15,4,Jharkhand                                                   ,Kodarma,32,13
155,212,Shri  Mirza Mehboob  Beg                                               ,15,4,Jammu and Kashmir                                           ,Anantnag,32,26
156,213,Shri  Jagdambika  Pal                                               ,15,4,Uttar Pradesh                                               ,Domariyaganj,32,31
157,214,Shri  N.Dharam  Singh                                             ,15,4,Karnataka                                                   ,Bidar,32,26
158,215,Shri  H.D.  Kumaraswamy                                       ,15,4,Karnataka                                                   ,Bangalore Rural,32,11
159,217,Dr.  Kakoli Ghosh  Dastidar                                          ,15,4,West Bengal                                                 ,Barasat,32,20
160,218,Shri  K. R. G.  Reddy                                             ,15,4,Andhra Pradesh                                              ,Bhongir,32,27
161,219,Shri  Rajaiah  Siricilla                                         ,15,4,Andhra Pradesh                                              ,Warangal,32,31
162,220,Shri  Jitendra  Singh Malik                                       ,15,4,Rajasthan                                                   ,Alwar,32,24
163,221,Shri  P.L.  Punia                                             ,15,4,Uttar Pradesh                                               ,Barabanki,32,30
164,222,Shri  Kamal  Kishor   Commando                                 ,15,4,Uttar Pradesh                                               ,Bahraich,32,32
165,223,"Dr.  Vinay Kumar  Panday ""Vinnu""                                    ",15,4,Uttar Pradesh                                               ,Shrawasti,32,30
166,224,Shri  Harsh  Vardhan                                           ,15,4,Uttar Pradesh                                               ,Maharajganj,32,19
167,225,Shri  Praveen Singh  Aron                                              ,15,4,Uttar Pradesh                                               ,Bareilly,32,21
168,226,Shri  Pradeep  Tamta                                             ,15,4,Uttarakhand                                                 ,Almora,32,32
169,227,Shri  S. S.  Ramasubbu                                         ,15,4,Tamil Nadu                                                  ,Tirunelveli,32,32
170,228,Shri  Sharief Ud Din  Shariq                                            ,15,4,Jammu and Kashmir                                           ,Baramulla,32,29
171,229,Shri  Mahesh  Joshi                                             ,15,4,Rajasthan                                                   ,Jaipur,32,31
172,230,Shri  Ijyaraj  Singh                                             ,15,4,Rajasthan                                                   ,Kota,32,32
173,231,Shri  E. T. Muhammed  Basheer                                           ,15,4,Kerala                                                      ,Ponnani,32,30
